  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
545110 ***** 201904231230 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   73   61 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231300 090   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   72   61 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231330 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   70   61 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231400 140   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   70   61 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231430 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   70   61 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231500 220   4 ***   8 OBS * * *  2.9 05 ** ** ** ** ** ** ** *   68   60 1008.6 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231500 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   68   61 ****** 29.80 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231530 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   68   61 ****** 29.80 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231600 120   7 *** 722 CLR * * *  5.0 ** ** ** ** ** ** ** ** *   68   61 ****** 29.80 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231630 130   9 *** 722 CLR * * *  5.0 ** ** ** ** ** ** ** ** *   68   61 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231700 990   4 ***  40 *** * * *  5.0 61 ** ** ** ** ** ** ** *   66   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231730 990   7 ***  40 *** * * *  5.0 ** ** ** ** ** ** ** ** *   66   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231800 180   4 ***   8 OBS * * *  2.2 05 ** ** ** ** ** ** ** 0   66   58 1008.0 ***** 1004.2 *** *** ***** ***** ***** ***** **
545110 ***** 201904231800 130   9 ***  40 *** * * *  5.0 ** ** ** ** ** ** ** ** *   66   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231830 140   9 ***  40 *** * * *  4.4 ** ** ** ** ** ** ** ** *   66   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231900 990   7 *** 722 CLR * * *  4.4 ** ** ** ** ** ** ** ** *   66   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904231930 990   4 *** 722 CLR * * *  4.4 ** ** ** ** ** ** ** ** *   64   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904232000 990   4 *** 722 CLR * * *  4.4 ** ** ** ** ** ** ** ** *   64   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904232030 990   7 *** 722 CLR * * *  4.4 ** ** ** ** ** ** ** ** *   64   59 ****** 29.77 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904232100 090   7 ***   8 OBS * * *  1.9 05 ** ** ** ** ** ** ** *   64   58 1008.6 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904232100 990   7 *** 722 CLR * * *  3.8 ** ** ** ** ** ** ** ** *   64   59 ****** 29.80 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904232130 990   7 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   63   59 ****** 29.80 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904232200 990   7 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   63   59 ****** 29.80 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904232230 990   7 *** 722 CLR * * *  3.1 10 ** ** ** ** ** ** ** *   63   59 ****** 29.80 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904232300 990   9 *** 722 CLR * * *  2.5 10 ** ** ** ** ** ** ** *   64   59 ****** 29.83 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904232330 990   9 *** 722 CLR * * *  2.5 10 ** ** ** ** ** ** ** *   64   59 ****** 29.83 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240000 110   4 *** *** OVC * * *  2.4 05 ** ** ** ** ** ** ** *   64   58 1010.4 ***** 1006.6 *** *** ***** ***** ***** ***** **
545110 ***** 201904240000 990  11 *** 722 CLR * * *  2.2 10 ** ** ** ** ** ** ** *   64   59 ****** 29.83 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240030 990   4 *** 722 CLR * * *  2.0 10 ** ** ** ** ** ** ** *   64   59 ****** 29.85 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240100 990   7 *** 722 CLR * * *  1.9 10 ** ** ** ** ** ** ** *   64   59 ****** 29.85 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240130 990   9 *** *** *** * * *  1.8 10 ** ** ** ** ** ** ** *   63   59 ****** 29.85 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240200 990   7 *** *** *** * * *  1.8 10 ** ** ** ** ** ** ** *   63   59 ****** 29.88 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240230 990  13  25  40 *** * * *  3.8 61 ** ** ** ** ** ** ** *   61   54 ****** 29.91 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240300 070   7 *** *** OVC * * *  1.8 05 ** ** ** ** ** ** ** 0   62   57 1012.1 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240300 030  16  27  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   54   50 ****** 29.91 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240330 990  16  27  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   54   48 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240400 990  16  27  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   52   46 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240430 030  18  29  10 *** * * *  6.2 61 ** ** ** ** ** ** ** *   52   46 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240500 990  18  29  33 *** * * *  6.2 61 ** ** ** ** ** ** ** *   52   45 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240530 020  16 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   52   45 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240600 020   9 *** *** OVC * * *  3.1 60 ** ** ** ** ** ** ** 6   50   47 1014.0 ***** 1010.1 ***  50 *****  0.20 ***** ***** **
545110 ***** 201904240600 990  13 *** *** *** * * *  6.2 61 ** ** ** ** ** ** ** *   52   45 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240630 010  18 *** 722 CLR * * *  6.2 61 ** ** ** ** ** ** ** *   50   45 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240700 990  16  27 *** *** * * * **** ** ** ** ** ** ** ** ** *   50   43 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240730 990  16  29 *** *** * * * **** ** ** ** ** ** ** ** ** *   50   43 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240800 990  16 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   50   41 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240830 990  13  25 722 CLR * * *  6.2 80 ** ** ** ** ** ** ** *   50   41 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240900 020  13 *** *** OVC * * * 18.8 60 ** ** ** ** ** ** ** 6   50   41 1014.6 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240900 010  18 *** *** *** * * *  6.2 80 ** ** ** ** ** ** ** *   48   43 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904240930 360  13 *** *** *** * * *  6.2 80 ** ** ** ** ** ** ** *   48   43 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241000 990   7 *** *** *** * * *  6.2 80 ** ** ** ** ** ** ** *   46   43 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241030 360  18 ***  10 *** * * *  6.2 80 ** ** ** ** ** ** ** *   46   43 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241100 020  13 *** *** *** * * *  6.2 61 ** ** ** ** ** ** ** *   46   43 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241130 990  16  27 *** *** * * *  6.2 61 ** ** ** ** ** ** ** *   45   41 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241200 020   7 *** *** OVC * * *  8.8 60 ** ** ** ** ** ** ** 6   45   42 1015.7 ***** 1011.8 *** *** *****  0.08 ***** ***** **
545110 ***** 201904241200 990  16 *** *** *** * * *  6.2 61 ** ** ** ** ** ** ** *   45   41 ****** 30.00 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241230 010  13 *** *** *** * * *  6.2 61 ** ** ** ** ** ** ** *   45   41 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241300 990  13 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   45   41 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241330 990  16 ***  33 *** * * *  5.0 63 ** ** ** ** ** ** ** *   45   41 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241400 010  13 ***  33 *** * * *  5.0 63 ** ** ** ** ** ** ** *   43   39 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241430 990  13 ***  33 *** * * *  5.0 63 ** ** ** ** ** ** ** *   43   39 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241500 360  13 ***   8 OBS * * * 10.0 60 ** ** ** ** ** ** ** *   43   40 1017.3 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241500 010  13 ***  33 *** * * *  6.2 61 ** ** ** ** ** ** ** *   41   39 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241530 990  13 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   41   37 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241600 020  11 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   41   39 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241630 990  11 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   41   39 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241700 990  11 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   41   39 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241730 990   9 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   41   37 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241800 020   9 ***   8 OBS * * * 16.2 50 ** ** ** ** ** ** ** 6   41   37 1017.3 ***** 1013.3 *** *** *****  0.51 ***** ***** **
545110 ***** 201904241800 990   9 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   41   37 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241830 360   9 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   43   39 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241900 020  11 ***  40 *** * * *  6.2 61 ** ** ** ** ** ** ** *   43   37 ****** 30.00 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904241930 360   9 ***  40 *** * * *  6.2 ** ** ** ** ** ** ** ** *   43   37 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904242000 990   7 ***  40 *** * * *  6.2 ** ** ** ** ** ** ** ** *   43   37 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904242030 360   9 ***  40 *** * * *  6.2 ** ** ** ** ** ** ** ** *   43   37 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904242100 020   4 ***   8 OBS * * * 18.8 ** ** ** ** ** ** ** ** *   43   37 1017.5 ***** ****** *** *** ***** *****  0.81 ***** **
545110 ***** 201904242100 340   7 ***  40 *** * * *  6.2 ** ** ** ** ** ** ** ** *   43   37 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904242130 290   7 ***  23 *** * * *  6.2 ** ** ** ** ** ** ** ** *   45   37 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904242200 310   4 ***  40 *** * * *  6.2 ** ** ** ** ** ** ** ** *   45   39 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904242230 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   46   41 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904242300 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   48   39 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904242330 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   50   37 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250000 340   4 *** *** BKN * * * 18.8 ** ** ** ** ** ** ** ** *   49   35 1018.5 ***** 1014.5 *** *** *****  0.00  0.81 ***** **
545110 ***** 201904250000 330   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   52   36 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250030 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   54   36 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250100 990   7  18 *** *** * * * **** ** ** ** ** ** ** ** ** *   54   37 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250130 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   55   36 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250200 340  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   34 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250230 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   57   30 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250300 020   7 *** 722 SCT * * * 18.8 ** ** ** ** ** ** ** ** *   56   27 1018.3 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250300 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   28 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250330 990   7  18 *** *** * * * **** ** ** ** ** ** ** ** ** *   59   32 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250400 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   30 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250430 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   30 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250500 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   28 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250530 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   28 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250600 040   4 *** 722 SCT * * * 18.8 ** ** ** ** ** ** ** ** *   60   27 1016.4 ***** 1012.4 ***  41 ***** ***** ***** ***** **
545110 ***** 201904250600 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   28 ****** 30.00 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250630 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   30 ****** 30.00 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250700 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   28 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250730 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   64   28 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250800 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   30 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250830 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   63   28 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250900 160   4 *** *** BKN * * * 18.8 ** ** ** ** ** ** ** ** *   60   30 1014.9 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250900 220   9  25 *** *** * * * **** ** ** ** ** ** ** ** ** *   63   28 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904250930 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   28 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251000 170   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   28 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251030 190   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   30 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251100 200   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   30 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251130 200   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   32 ****** 29.94 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251200 220   7 *** *** BKN * * * 13.8 ** ** ** ** ** ** ** ** *   57   33 1015.1 ***** 1011.2 *** *** ***** ***** ***** ***** **
545110 ***** 201904251200 180   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   55   34 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251230 170   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   55   36 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251300 170   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   55   36 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251330 190   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   57   36 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251400 210   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   57   34 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251430 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   57   34 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251500 220   4 ***   8 OBS * * * 11.9 ** ** ** ** ** ** ** ** *   55   37 1015.7 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251500 210   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   57   34 ****** 29.97 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251530 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   57   34 ****** 30.00 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251600 990   7 *** 722 CLR * * *  6.2 61 ** ** ** ** ** ** ** *   57   37 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251630 220  11 *** 722 CLR * * *  6.2 61 ** ** ** ** ** ** ** *   54   41 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251700 060   4 *** 722 CLR * * *  6.2 61 ** ** ** ** ** ** ** *   50   46 ****** 30.03 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251730 990   9 *** 722 CLR * * *  6.2 61 ** ** ** ** ** ** ** *   52   43 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251800 040   2 ***   8 OBS * * *  5.6 60 ** ** ** ** ** ** ** 5   50   45 1018.3 ***** 1014.4 *** *** *****  0.04 ***** ***** **
545110 ***** 201904251800 990   7 ***  43 *** * * *  6.2 61 ** ** ** ** ** ** ** *   50   45 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251830 990  11 ***  43 *** * * *  6.2 61 ** ** ** ** ** ** ** *   50   46 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251900 990  11  25  43 *** * * *  6.2 61 ** ** ** ** ** ** ** *   50   45 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904251930 990   4 ***  43 *** * * *  6.2 61 ** ** ** ** ** ** ** *   50   45 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904252000 990   7 ***  43 *** * * *  6.2 ** ** ** ** ** ** ** ** *   50   45 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904252030 310   7 ***  43 *** * * *  6.2 61 ** ** ** ** ** ** ** *   48   45 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904252100 *** *** ***   8 OBS * * *  2.8 60 ** ** ** ** ** ** ** *   48   45 1020.6 ***** ****** *** *** ***** *****  0.15 ***** **
545110 ***** 201904252100 250   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   50   46 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904252130 260   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   50   46 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904252200 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   50   45 ****** 30.15 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904252230 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   50   45 ****** 30.18 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904252300 310  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   52   46 ****** 30.18 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904252330 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   52   45 ****** 30.18 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260000 340   4 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   52   42 1022.4 ***** 1018.5 *** *** *****  0.12  0.15 ***** **
545110 ***** 201904260000 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   54   45 ****** 30.18 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260030 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   55   43 ****** 30.21 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260100 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   57   43 ****** 30.18 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260130 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   41 ****** 30.18 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260200 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   41 ****** 30.21 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260230 990   7  18 *** *** * * * **** ** ** ** ** ** ** ** ** *   63   39 ****** 30.18 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260300 250   4 *** *** BKN * * * 14.4 ** ** ** ** ** ** ** ** *   60   40 1022.5 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260300 990   9  20 *** *** * * * **** ** ** ** ** ** ** ** ** *   63   39 ****** 30.18 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260330 990   2  13 *** *** * * * **** ** ** ** ** ** ** ** ** *   64   37 ****** 30.18 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260400 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   64   37 ****** 30.15 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260430 990   4 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   64   36 ****** 30.15 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260500 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   68   30 ****** 30.15 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260530 990   2 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   66   32 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260600 250   9 *** *** BKN * * * 15.6 ** ** ** ** ** ** ** ** *   65   33 1020.4 ***** 1016.5 ***  48 ***** ***** ***** ***** **
545110 ***** 201904260600 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   68   28 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260630 990   9  20 *** *** * * * **** ** ** ** ** ** ** ** ** *   68   25 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260700 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   68   27 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260730 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   68   27 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260800 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   68   28 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260830 990   9  20 *** *** * * * **** ** ** ** ** ** ** ** ** *   68   32 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260900 200   9 *** *** BKN * * * 12.5 ** ** ** ** ** ** ** ** *   64   35 1018.9 ***** ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260900 990  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   68   34 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904260930 190  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   66   34 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904261000 210  13 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   66   34 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904261030 200  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   64   36 ****** 30.06 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904261100 210  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   64   36 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904261130 200   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   36 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904261200 220   9 *** *** BKN * * * 13.1 ** ** ** ** ** ** ** ** *   59   38 1020.0 ***** 1016.1 *** *** ***** ***** ***** ***** **
545110 ***** 201904261200 210   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   36 ****** 30.09 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904261230 200  11 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   61   36 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904261300 990   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   59   37 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904261330 990   9 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   57   37 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
545110 ***** 201904261400 170   7 *** *** *** * * * **** ** ** ** ** ** ** ** ** *   55   39 ****** 30.12 ****** *** *** ***** ***** ***** ***** **
